id,lugares,cod_formato,formato,cod_categoria,categoria,cod_uo,unidade,regiao,gratis,publico,projeto,nome,complemento,exibirdatas,tempo,tempoF,dia_da_semana,weekday,hora,destaque,foto,data_sessao,datainicial,datafinal,sinopse,ingressos,tem,dispositivo,ingresso,online,turno
70000005667127,250,1,shows e espetáculos,7,Literatura,70,Santo Amaro,capital,1,outros,,A onça está solta,Com o Grupo As Meninas do Conto,uma,nextW,proxima,qui,3,14h,undefined,undefined,2023-10-12 00:00:00,2023-10-12 00:00:00,2023-10-12 00:00:00,"A onça é feroz e faminta, cuidado com a pintada que ela está solta! E para vencer este bicho tão valente, é preciso muita artimanha, muita esperteza.  Com o Grupo As Meninas do Conto. Libras.",grátis,1,Tradução em Libras,0,0,tarde
70000005670433,270,1,shows e espetáculos,2,Teatro,70,Santo Amaro,capital,0,outros,,Samaúma Árvore Mãe,Com Cia da Tribo,uma,nextW,proxima,dom,6,16h,undefined,undefined,2023-10-15 00:00:00,2023-10-08 00:00:00,2023-10-22 00:00:00,"O espetáculo infantil SAMAÚMA - A Árvore Mãe, apresenta uma leitura poética sobre símbolos e mitos ligados à árvore Samaúma, considerada por diversos povos originários como uma árvore sagrada, protetora da vida. Com texto de Marcelo Romagnoli, trilha sonora de Magda Pucci (Mawaca) e direção de Wanderley Piras, o espetáculo destaca a empatia como elemento propulsor de mudanças",Ingresso - R$ 25.00 / R$ 12.50 / R$ 8.00,,,1,0,tarde
70000005670433,270,1,shows e espetáculos,2,Teatro,70,Santo Amaro,capital,0,outros,,Samaúma Árvore Mãe,Com Cia da Tribo,uma,nextW,proxima,qui,3,16h,undefined,undefined,2023-10-12 00:00:00,2023-10-08 00:00:00,2023-10-22 00:00:00,"O espetáculo infantil SAMAÚMA - A Árvore Mãe, apresenta uma leitura poética sobre símbolos e mitos ligados à árvore Samaúma, considerada por diversos povos originários como uma árvore sagrada, protetora da vida. Com texto de Marcelo Romagnoli, trilha sonora de Magda Pucci (Mawaca) e direção de Wanderley Piras, o espetáculo destaca a empatia como elemento propulsor de mudanças",Ingresso - R$ 25.00 / R$ 12.50 / R$ 8.00,,,1,0,tarde
70000005670433,270,1,shows e espetáculos,2,Teatro,70,Santo Amaro,capital,0,outros,,Samaúma Árvore Mãe,Com Cia da Tribo,uma,thisW,agora,dom,6,16h,undefined,undefined,2023-10-08 00:00:00,2023-10-08 00:00:00,2023-10-22 00:00:00,"O espetáculo infantil SAMAÚMA - A Árvore Mãe, apresenta uma leitura poética sobre símbolos e mitos ligados à árvore Samaúma, considerada por diversos povos originários como uma árvore sagrada, protetora da vida. Com texto de Marcelo Romagnoli, trilha sonora de Magda Pucci (Mawaca) e direção de Wanderley Piras, o espetáculo destaca a empatia como elemento propulsor de mudanças",Ingresso - R$ 25.00 / R$ 12.50 / R$ 8.00,,,1,0,tarde
70000005670503,20,2,cursos e oficinas,1,Música,70,Santo Amaro,capital,1,crianças,,"Cantigas de Berço, Brincadeiras de Roda","Com Ligia Fiocco, artista-educadora, musicista, e musicoterapeuta especialista na relação pais-bebê.",uma,nextW,proxima,dom,6,11h,undefined,undefined,2023-10-15 00:00:00,2023-10-15 00:00:00,2023-10-29 00:00:00,"Entre brincos, cantigas e acalantos, o encontro é um convite para famílias mergulharem nas sutilezas do universo sonoro-musical dos pequeninos. Dirigido para bebês e crianças até 2 anos. Com Ligia Fiocco é artista-educadora, musicista, e musicoterapeuta especialista na relação pais-bebê.",grátis,,,0,0,manhã
70000005670539,30,6,atividade física,11,Atividade Física,70,Santo Amaro,capital,0,crianças,,Entre Amigos - Rollerski,com Ski Experience Ltda,uma,nextW,proxima,dom,6,15h30,undefined,undefined,2023-10-15 00:00:00,2023-10-14 00:00:00,2023-10-15 00:00:00,"Entre Amigo, com vivência de Rollerski.",(Em branco),,,0,0,tarde
70000005670539,30,6,atividade física,11,Atividade Física,70,Santo Amaro,capital,0,crianças,,Entre Amigos - Rollerski,com Ski Experience Ltda,uma,nextW,proxima,sáb,5,15h30,undefined,undefined,2023-10-14 00:00:00,2023-10-14 00:00:00,2023-10-15 00:00:00,"Entre Amigo, com vivência de Rollerski.",(Em branco),,,0,0,tarde
70000005681203,300,1,shows e espetáculos,3,Circo,70,Santo Amaro,capital,0,outros,,O Método Mágico Científico com Cia. Fundo Falso,,uma,nextW,proxima,dom,6,17h,undefined,undefined,2023-10-15 00:00:00,2023-10-15 00:00:00,2023-10-15 00:00:00,"Entrelaçando mágica e ciência, o público tem sua curiosidade provocada, gerando novos olhares sobre o mundo e o véu que o cobre.",outros,,,0,0,tarde
70000005682000,30,2,cursos e oficinas,4,Dança,70,Santo Amaro,capital,0,outros,Habitat de Dança,Habitat de Dança: Esquiva com Cia. Oito Nova Dança,,primeira,nextW,proxima,sáb,5,14h,undefined,undefined,2023-10-14 00:00:00,2023-10-14 00:00:00,2023-11-11 00:00:00,"A residência propõe a transmissão e reelaboração dos conteúdos, procedimentos e matéria criativa na criação da Intervenção Urbana ESQUIVA, a partir do Xondaro, manifestação característica da cultura Guarani Mbya, encerrando o último encontro com a realização da Intervenção urbana pela Cia. junto aos integrantes da oficina. Coordenação de Lu Favoreto.",outros,,,0,0,tarde
70000005682641,25,3,debates e paletras,7,Literatura,70,Santo Amaro,capital,1,outros,,Historinhas e Historietas,"Com Simone de Souza, artista eucadora, mediadora de leitura, licenciada em teatro.",uma,nextW,proxima,dom,6,14h30,undefined,undefined,2023-10-15 00:00:00,2023-10-01 00:00:00,2023-10-29 00:00:00,"Uma viagem pela leitura de livros, por meio de uma experiência lúdica que desenvolve a escuta, a oralidade, a autonomia e a iniciativa dos participantes. Com Simone de Souza, artista eucadora, mediadora de leitura, licenciada em Teatro.",grátis,,,0,0,tarde
70000005682641,25,3,debates e paletras,7,Literatura,70,Santo Amaro,capital,1,outros,,Historinhas e Historietas,"Com Simone de Souza, artista eucadora, mediadora de leitura, licenciada em teatro.",uma,thisW,agora,dom,6,14h30,undefined,undefined,2023-10-08 00:00:00,2023-10-01 00:00:00,2023-10-29 00:00:00,"Uma viagem pela leitura de livros, por meio de uma experiência lúdica que desenvolve a escuta, a oralidade, a autonomia e a iniciativa dos participantes. Com Simone de Souza, artista eucadora, mediadora de leitura, licenciada em Teatro.",grátis,,,0,0,tarde
